Source	RelationType	Target	DepType
urn:cite2:gagdt:tokens.v1:Aesch_Ag_3	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_1	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_3	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_2	AuxY
urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_3	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_6	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_4	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_3	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_5	OBJ
urn:cite2:gagdt:artificial.v1:Aesch_Ag_1	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_6	ATR
urn:cite2:gagdt:artificial.v1:Aesch_Ag_1	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_7	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_7	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_8	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_8	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_9	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_21	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_10	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_12	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_11	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_21	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_12	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_12	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_13	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_13	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_14	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_16	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_15	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_12	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_16	APOS
urn:cite2:gagdt:tokens.v1:Aesch_Ag_18	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_17	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_16	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_18	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_16	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_19	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_23	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_20	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_7	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_21	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_20	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_22	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_25	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_23	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_25	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_24	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_38	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_25	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_33	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_26	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_33	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_27	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_29	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_28	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_27	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_29	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_29	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_30	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_27	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_31	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_33	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_32	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_34	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_33	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_25	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_34	APOS
urn:cite2:gagdt:tokens.v1:Aesch_Ag_37	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_35	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_35	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_36	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_34	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_37	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_21	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_38	APOS
urn:cite2:gagdt:tokens.v1:Aesch_Ag_43	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_39	AuxC
urn:cite2:gagdt:tokens.v1:Aesch_Ag_39	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_40	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_43	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_41	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_43	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_42	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_38	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_43	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_42	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_44	ATR
urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_45	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_5	syntGoverns	urn:cite2:gagdt:artificial.v1:Aesch_Ag_1	APOS
urn:cite2:gagdt:tokens.v1:Aesch_Ag_1	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_2	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_3	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_4	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_5	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_6	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_7	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_8	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_9	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_10	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_11	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_12	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_13	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_14	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_15	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_16	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_17	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_18	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_19	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_20	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_21	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_22	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_23	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_24	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_25	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_26	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_27	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_28	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_29	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_30	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_31	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_32	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_33	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_34	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_35	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_36	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_37	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_38	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_39	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_40	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_41	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_42	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_43	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
