ID	Form	Lemma	Rank	Postag	Pos	Person	Number	Tense	Mood	Voice	Gender	Case	Degree	IsMemberOfCoord	IsMemberOfApos	TextURN
urn:cite2:gagdt:tokens.v1:Aesch_Ag_1	θεοὺς	θεός	1	n-p---ma-	noun	-	plural	-	-	-	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_2	μὲν	μέν	2	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_3	αἰτῶ	αἰτέω	3	v1spia---	verb	1st	singular	present	indicative	active	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_4	τῶνδ'	ὅδε	4	p-p---mg-	pron	-	plural	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_5	ἀπαλλαγὴν	ἀπαλλαγή	5	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_6	πόνων	πόνος	6	n-p---mg-	noun	-	plural	-	-	-	masculine	genitive	-	false	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_7	φρουρᾶς	φρουρά	7	n-s---fg-	noun	-	singular	-	-	-	feminine	genitive	-	false	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:2.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_8	ἐτείας	ἔτειος	8	a-s---fg-	adjective	-	singular	-	-	-	feminine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:2.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_9	μῆκος	μῆκος	9	n-s---na-	noun	-	singular	-	-	-	neuter	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:2.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_10	,	,	10	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:2.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_11	ἣν	ὅς	11	p-s---fa-	pron	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:2.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_12	κοιμώμενος	κοιμάω	12	v-sppemn-	verb	-	singular	present	participle	mediopassive	masculine	nominative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:2.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_13	στέγαις	στέγη	13	n-p---fd-	noun	-	plural	-	-	-	feminine	dative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_14	Ἀτρειδῶν	Ἀτρείδης	14	n-p---mg-	noun	-	plural	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_15	ἄγκαθεν	ἄγκαθεν	15	d--------	adverb	-	-	-	-	-	-	-	-	false	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_16	,	,	16	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_17	κυνὸς	κύων	17	n-s---mg-	noun	-	singular	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_18	δίκην	δίκη	18	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	false	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_19	,	,	19	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:3.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_20	ἄστρων	ἄστρον	20	n-p---ng-	noun	-	plural	-	-	-	neuter	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:4.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_21	κάτοιδα	κάτοιδα	21	v1sria---	verb	1st	singular	perfect	indicative	active	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:4.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_22	νυκτέρων	νύκτερος	22	a-p---ng-	adjective	-	plural	-	-	-	neuter	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:4.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_23	ὁμήγυριν	ὁμήγυρις	23	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	true	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:4.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_24	,	,	24	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:4.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_25	καὶ	καί	25	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_26	τοὺς	ὁ	26	l-p---ma-	article	-	plural	-	-	-	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_27	φέροντας	φέρω	27	v-pppama-	verb	-	plural	present	participle	active	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_28	χεῖμα	χεῖμα	28	n-s---na-	noun	-	singular	-	-	-	neuter	accusative	-	true	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_29	καὶ	καί	29	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_30	θέρος	θέρος	30	n-s---na-	noun	-	singular	-	-	-	neuter	accusative	-	true	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_31	βροτοῖς	βροτός	31	n-p---md-	noun	-	plural	-	-	-	masculine	dative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:5.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_32	λαμπροὺς	λαμπρός	32	a-p---ma-	adjective	-	plural	-	-	-	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:6.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_33	δυνάστας	δυνάστης	33	n-p---ma-	noun	-	plural	-	-	-	masculine	accusative	-	true	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:6.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_34	,	,	34	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:6.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_35	ἐμπρέποντας	ἐμπρέπω	35	v-pppama-	verb	-	plural	present	participle	active	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:6.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_36	αἰθέρι	αἰθήρ	36	n-s---md-	noun	-	singular	-	-	-	masculine	dative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:6.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_37	[ἀστέρας	ἀστήρ	37	n-p---ma-	noun	-	plural	-	-	-	masculine	accusative	-	true	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_38	,	,	38	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_39	ὅταν	ὅταν	39	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_40	φθίνωσιν	φθίω	40	v3ppsa---	verb	3rd	plural	present	subjunctive	active	-	-	-	true	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_41	,	,	41	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_42	ἀντολάς	ἀνατολή	42	n-p---fa-	noun	-	plural	-	-	-	feminine	accusative	-	true	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_43	τε	τε	43	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_44	τῶν]	ὁ	44	p-p---mg-	pron	-	plural	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.8
urn:cite2:gagdt:tokens.v1:Aesch_Ag_45	.	.	45	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:7.9
urn:cite2:gagdt:tokens.v1:Aesch_Ag_46	καὶ	καί	1	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_47	νῦν	νῦν	2	d--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_48	φυλάσσω	φυλάσσω	3	v1spia---	verb	1st	singular	present	indicative	active	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_49	λαμπάδος	λαμπάς	4	n-s---fg-	noun	-	singular	-	-	-	feminine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_50	τό	ὁ	5	p-s---na-	pron	-	singular	-	-	-	neuter	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_51	σύμβολον	σύμβολον	6	n-s---na-	noun	-	singular	-	-	-	neuter	accusative	-	false	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_52	,	,	7	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_53	αὐγὴν	αὐγή	8	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	false	true	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:9.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_54	πυρὸς	πῦρ	9	n-s---ng-	noun	-	singular	-	-	-	neuter	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:9.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_55	φέρουσαν	φέρω	10	v-sppafa-	verb	-	singular	present	participle	active	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:9.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_56	ἐκ	ἐκ	11	r--------	preposition	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:9.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_57	Τροίας	Τροία	12	n-s---fg-	noun	-	singular	-	-	-	feminine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:9.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_58	φάτιν	φάτις	13	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	true	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:9.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_59	ἁλώσιμόν	ἁλώσιμος	14	a-s---fa-	adjective	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_60	τε	τε	15	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_61	βάξιν	βάξις	16	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	true	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_62	·	·	17	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_63	ὧδε	ὧδε	1	d--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_64	γὰρ	γάρ	2	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_65	κρατεῖ	κρατέω	3	v3spia---	verb	3rd	singular	present	indicative	active	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_66	γυναικὸς	γυνή	4	n-s---fg-	noun	-	singular	-	-	-	feminine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:11.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_67	ἀνδρόβουλον	ἀνδρόβουλος	5	a-s---nn-	adjective	-	singular	-	-	-	neuter	nominative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:11.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_68	ἐλπίζον	ἐλπίζω	6	v-sppann-	verb	-	singular	present	participle	active	neuter	nominative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:11.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_69	κέαρ	κῆρ	7	n-s---nn-	noun	-	singular	-	-	-	neuter	nominative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:11.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_70	.	.	8	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:11.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_71	εὖτ'	εὖτε	1	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_72	ἂν	ἄν	2	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_73	δὲ	δέ	3	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_74	νυκτίπλαγκτον	νυκτίπλαγκτος	4	a-s---fa-	adjective	-	singular	-	-	-	feminine	accusative	-	true	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_75	ἔνδροσόν	ἔνδροσος	5	a-s---fa-	adjective	-	singular	-	-	-	feminine	accusative	-	true	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_76	τ'	τε	6	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_77	ἔχω	ἔχω	7	v1spsa---	verb	1st	singular	present	subjunctive	active	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_78	εὐνὴν	εὐνή	8	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:13.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_79	ὀνείροις	ὄνειρος	9	n-p---md-	noun	-	plural	-	-	-	masculine	dative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:13.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_80	οὐκ	οὐ	10	d--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:13.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_81	ἐπισκοπουμένην	ἐπισκοπέω	11	v-sppefa-	verb	-	singular	present	participle	mediopassive	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:13.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_82	ἐμήν	ἐμός	12	a-s---fa-	adjective	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_83	·	·	13	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_84	φόβος	φόβος	1	n-s---mn-	noun	-	singular	-	-	-	masculine	nominative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.3
urn:cite2:gagdt:tokens.v1:Aesch_Ag_85	γὰρ	γάρ	2	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.4
urn:cite2:gagdt:tokens.v1:Aesch_Ag_86	ἀνθ'	ἀντί	3	r--------	preposition	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.5
urn:cite2:gagdt:tokens.v1:Aesch_Ag_87	ὕπνου	ὕπνος	4	n-s---mg-	noun	-	singular	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.6
urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	παραστατεῖ	παραστατέω	5	v3spia---	verb	3rd	singular	present	indicative	active	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.7
urn:cite2:gagdt:tokens.v1:Aesch_Ag_89	,	,	6	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.8
urn:cite2:gagdt:tokens.v1:Aesch_Ag_90	τὸ	ὁ	7	l-s---na-	article	-	singular	-	-	-	neuter	accusative	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:15.1
urn:cite2:gagdt:tokens.v1:Aesch_Ag_91	μὴ	μή	8	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:15.2
urn:cite2:gagdt:tokens.v1:Aesch_Ag_92	βεβαίως	βέβαιος	9	d--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:15.3
