ID	Form	Lemma	Rank	Postag	Pos	Person	Number	Tense	Mood	Voice	Gender	Case	Degree	IsMemberOfCoord	IsMemberOfApos	TextURN
urn:cite2:gagdt:tokens.v1:Soph_Aj_1	ἀεὶ	ἀεί	1	d--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.1
urn:cite2:gagdt:tokens.v1:Soph_Aj_2	μέν	μέν	2	g--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.2
urn:cite2:gagdt:tokens.v1:Soph_Aj_3	,	,	3	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.3
urn:cite2:gagdt:tokens.v1:Soph_Aj_4	ὦ	ὦ	4	i--------	irregular	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.4
urn:cite2:gagdt:tokens.v1:Soph_Aj_5	παῖ	παῖς	5	n-s---mv-	noun	-	singular	-	-	-	masculine	vocative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.5
urn:cite2:gagdt:tokens.v1:Soph_Aj_6	Λαρτίου	λάρτιος	6	a-s---mg-	adjective	-	singular	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.6
urn:cite2:gagdt:tokens.v1:Soph_Aj_7	,	,	7	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.7
urn:cite2:gagdt:tokens.v1:Soph_Aj_8	δέδορκά	δέρκομαι	8	v1sria---	verb	1st	singular	perfect	indicative	active	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.8
urn:cite2:gagdt:tokens.v1:Soph_Aj_9	σε	σύ	9	p-s----a-	pron	-	singular	-	-	-	-	accusative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.9
urn:cite2:gagdt:tokens.v1:Soph_Aj_10	πεῖράν	πεῖρα	10	n-s---fa-	noun	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:2.1
urn:cite2:gagdt:tokens.v1:Soph_Aj_11	τιν'	τις	11	p-s---fa-	pron	-	singular	-	-	-	feminine	accusative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:2.2
urn:cite2:gagdt:tokens.v1:Soph_Aj_12	ἐχθρῶν	ἐχθρός	12	a-p---mg-	adjective	-	plural	-	-	-	masculine	genitive	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:2.3
urn:cite2:gagdt:tokens.v1:Soph_Aj_13	ἁρπάσαι	ἁρπάζω	13	v--ana---	verb	-	-	aorist	infinitive	active	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:2.4
urn:cite2:gagdt:tokens.v1:Soph_Aj_14	θηρώμενον	θηράω	14	v-sppema-	verb	-	singular	present	participle	mediopassive	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:2.5
urn:cite2:gagdt:tokens.v1:Soph_Aj_15	·	·	15	u--------	punctuation	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:2.6
urn:cite2:gagdt:tokens.v1:Soph_Aj_16	καὶ	καί	1	c--------	conjunction	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.1
urn:cite2:gagdt:tokens.v1:Soph_Aj_17	νῦν	νῦν	2	d--------	adverb	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.2
urn:cite2:gagdt:tokens.v1:Soph_Aj_18	ἐπὶ	ἐπί	3	r--------	preposition	-	-	-	-	-	-	-	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.3
urn:cite2:gagdt:tokens.v1:Soph_Aj_19	σκηναῖς	σκηνή	4	n-p---fd-	noun	-	plural	-	-	-	feminine	dative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.4
urn:cite2:gagdt:tokens.v1:Soph_Aj_20	σε	σύ	5	p-s---ma-	pron	-	singular	-	-	-	masculine	accusative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.5
urn:cite2:gagdt:tokens.v1:Soph_Aj_21	ναυτικαῖς	ναυτικός	6	a-p---fd-	adjective	-	plural	-	-	-	feminine	dative	-	false	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.6
urn:cite2:gagdt:tokens.v1:Soph_Aj_22	ὁρῶ	ὁράω	7	v1spia---	verb	1st	singular	present	indicative	active	-	-	-	true	false	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.7
